Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure / Fantasy,,
Meitantei Conan,Mystery,,
Vagabond,Historical,,
Hunter x Hunter,Action / Adventure / Supernatural,,
Hana yori Dango,Romance,,
GTO,Comedy / Drama,,
Inuyasha,Adventure / Action / Supernatural,,
Hoshin Engi,Adventure / Sci-fi,,
Kindaichi Shounen no Jikenbo,Mystery,,
Rekka no Honoo,Adventure / Supernatural,,	
