Book title,Genre,Book's volume sale,Etc.
Meitantei Conan,Mystery,,
Rurouni Kenshin,Action / History,,
GTO,Comedy / Drama,,
Kindaichi Shounen no Jikenbo,Mystery,,
H2,Sports,,
Hoshin Engi,Adventure / Sci-fi,,
Initial D,Sports,,
Hana yori Dango,Romance,,
One Piece,Adventure / Fantasy,,
Rekka no Honoo,Adventure / Supernatural,,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Comedy,,
I's,Drama / Romance,,
Oishinbo,Comedy,,
Hajime no Ippo,Sports,,
Monster,Mystery / Horror,,
GS Mikami Gokuraku Daisakusen!!,Comedy / Supernatural,,
Sora wa Akai Kawa no Hotori,Supernatural,,
3x3 Eyes,Adventure / Fantasy,,
Jaja Uma Grooming Up!,Slice of Life,,
Basara,Action /History,,
