Book title,Genre,Book's volume sale,Etc.
Death Note, Psychological / Mystery,,
Nodame Cantabile, Shcool / Romance,,
One Piece,Adventure / Fantasy,,
MAJOR,Sports / shonen,,
BLEACH,Action / Supernatural,,
Naruto,Action / Supernatural,,
NANA,romance / Drama,,
Gintama, Comedy / shonen,,
Eyeshield 21,Sports / Comedy,,
Honey and Clover,Romance / Comedy,,
