Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure-Fantasy,"14,721,241",
Naruto,Action-Supernatural,"6,836,494",
BLEACH,Action-Supernatural,"6,471,021	",
Fullmetal Alchemist,Action / Supernatural / Mystery,"5,810,522",
Gintama, Comedy / shonen / porody,"4,733,511",
Katekyo Hitman Reborn!,Comedy / Supernatural,"3,694,323",
Mei-chan no Shitsuji,romance / shojo,"3,076,659	",
Fairy Tail,Fantasy / shonen,"2,886,942",
20th Century Boys,Mystery / Drama,"2,655,379",
Saint Young Men, Comedy / Slice of Life,"2,614,269",
