Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure-Fantasy,"14,102,521",
The Seven Deadly Sins,Action-Fantasy,"10,304,112",
Shingeki no Kyojin,Dark Fantasy-Adventure,"8,778,048",
Ansatsu Kyoushitsu ,Shcool-Shonen,"8,605,861",
Kingdom,Seinen-History,"8,569,215",
Haikyu!!,Sports-Shcool,"6,531,508",
Shokugeki no Souma,Comedy-Slice of Life,"4,321,830",
Terraformars,Scifi-Adventure,"4,188,158",
Prison School,Comedy,"4,058,119",
Tokyo Ghoul,Drama-Supernatural,"3,758,541",
One Punch-Man,Comedy-Parody,"3,689,013",
Ao Haru Ride,Shcool-Shojo,"3,638,637",
Naruto,Action-Supernatural,"3,576,177",
Fairy Tail,Adventure-Fantasy,"3,498,177",
Yowamushi Pedal,Sports-Shonen,"3,472,121",
