Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure / Fantasy,,
Naruto,Action / Supernatural,,
20th Century Boys,Mystery / Drama,,
Katekyo Hitman Reborn!,Comedy / Supernatural,,
BLEACH,Action / Supernatural,
NANA,romance / Drama,,
Soul Eate,Supernatural / shonen,,
Nodame Cantabile, Shcool / Romance,,
ROOKIES, Comedy / Shcool,,
Gintama, Comedy / shonen,,
