Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure-Fantasy,"18,151,599",
Shingeki no Kyojin,Dark Fantasy-Adventure,"15,933,801",
Kuroko no Basuke,Sports-Shonen,"8,761,081",
Magi, Fantasy-Adventure,"7,151,001",
Naruto,Action-Supernatural,"5,553,933",
Silver Spoon,Comedy-Slice of Life,"4,858,699",
Ansatsu Kyoushitsu ,Shcool-Shonen,"4,595,820",
Hunter x Hunter,Adventure-Martial Art,"4,231,475",
Fairy Tail,Fantasy-Shonen,"3,790,151",
Terraformars,Scifi-Adventure,"3,602,630", 
Kimi ni Todoke,Romance-Shojo,"3,428,352",
Gintama, Comedy-Parody,"2,864,734",
Toriko, Action-Adventure,"2,844,248",
Kingdom, Seinen-History,"2,805,945",
BLEACH,Action-Supernatural,"2,752,588",
