Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure / Fantasy,"32,343,809",
Naruto,Action / Supernatural,"7,409,068",
Kimi ni Todoke,romance / shojo,"6,572,813",
Fairy Tail,Fantasy / shonen,"5,739,526",
BLEACH,Action / Supernatural,"5,204,193",
Fullmetal Alchemist,Action / Supernatural / Mystery,"5,165,052",
Gintama, Comedy / shonen / parody,"3,978,439",
Katekyo Hitman Reborn!,Comedy / Supernatural,"3,479,219",
Nurarihyon no Mago ,Supernatural / Fantasy,"3,269,379",
Nodame Cantabile, Shcool / Romance,"3,246,355",
