Book title,Genre,Book's volume sale,Etc.
Kindaichi Shounen no Jikenbo,Mystery,,
Rurouni Kenshin,Action / Historical / Drama / Comedy,,
Meitantei Conan,Mystery,,
Hana yori Dango,Romance,,
H2,Sports,,
Oishinbo,Comedy,,
Hoshin Engi,Adventure / Sci-fi,,
Ike! Inachuu Takkyuu-bu,,,
Initial D,Sports,,
Aka-chan to Boku,,,
Dokaben,,,
3x3 Eyes,Adventure / Fantasy / Horror,,
Kyou kara Ore wa!,Comedy,,
GS Mikami Gokuraku Daisakusen!!,Action / Comedy / Supernatural,,
Shinseiki Evangelion,Action,,
Sexy Commander Gaiden: Sugoi yo!!,Comedy,,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Comedy,,
Hajime no Ippo,Sports,,
Crayon Shin-chan,Comedy,,
Salary-man Kintarou,,,
