Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure / Fantasy,,
NANA,romance / Drama,,
Nodame Cantabile, Shcool / Romance,,
Naruto,Action / Supernatural,,
Fullmetal Alchemist,Action / Supernatural / Mystery,,
Hunter x Hunter,Action / Adventure / Supernatural,,
BLEACH,Action / Supernatural,,
D．Gray－man,Action / Adventure,,
Katekyo Hitman Reborn!,Comedy / Supernatural,,
Gintama, Comedy / shonen,,
