Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure-Fantasy,"12,314,326",
Ansatsu Kyoushitsu ,Shcool-Shonen,"6,887,192",
Kingdom, Seinen-History,"6,595,968",
Shingeki no Kyojin,Dark Fantasy-Adventure,"6,544,081",
Haikyu!!, Sports-Shcool,"6,474,394",
The Seven Deadly Sins,Adventure-Fantasy,"5,115,573",
My Hero Academia,Shonen-Supernatural,"5,114,916",
Tokyo Ghoul,Drama-Supernatural,"4,278,599",
One Punch-Man,Comedy-Parody,"3,979,760",
Shokugeki no Souma,Comedy-Slice of Life,"5,115,573",
Chihayafuru,Romance-Sports,"3,019,944",
Terraformars,Scifi-Adventure	,"3,013,816",
Fairy Tail,Adventure-Fantasy,"2,719,478",
Detective Conan,Mystery,"2,622,350",
Erased,Scifi-Mystery,"2,507,468",
