Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure / Fantasy,11495532,
Shingeki no Kyojin, Supernatural / Drama / Action,6622781,
Kingdom, Seinen / History,6184214,
My Hero Academia, Shonen / Supernatural,5852310,
Tokyo Ghoul,Drama / Supernatural,5303514,
Haikyu!!, Sports / Shcool,5067939,
The Seven Deadly Sins, Action / Fantasy,3592571,
One Punch-Man,comedy / parody,3223151,
Shokugeki no Souma,Ecchi / School,2792441,
Magi,Fantasy / Supernatural,2713074,
