Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure / Fantasy,,
Naruto,Action / Supernatural,,
Hunter x Hunter,Action / Adventure / Supernatural,,
NANA,romance / Drama,,
Hana yori Dango,romance / Comedy,,
Death Note, Psychological / Mystery,,
REAL, Drama / Sports,,
Tennis no Ouji-sama, Sports / Fantasy,,
BLEACH,Action / Supernatural,,
Bastard,Ecchi / Supernatural / Supernatural,,
